query,approved,rejected,errors,approved_dir,report
Bodrum Estetik Hair klinik,3,185,66,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Bodrum_Estetik_Hair_klinik,output/report_Bodrum_Estetik_Hair_klinik.csv
Bogazici Tip Merkezi klinik,3,50,10,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Bogazici_Tip_Merkezi_klinik,output/report_Bogazici_Tip_Merkezi_klinik.csv
Can Uslu Health Care klinik,3,62,41,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Can_Uslu_Health_Care_klinik,output/report_Can_Uslu_Health_Care_klinik.csv
Canan Uluocak Hair Clinic klinik,0,43,120,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Canan_Uluocak_Hair_Clinic_klinik,output/report_Canan_Uluocak_Hair_Clinic_klinik.csv
Cades Clinic klinik,3,37,19,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Cades_Clinic_klinik,output/report_Cades_Clinic_klinik.csv
Cevre Hair Hospital klinik,3,25,11,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Cevre_Hair_Hospital_klinik,output/report_Cevre_Hair_Hospital_klinik.csv
Capital Hair Center klinik,3,108,50,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Capital_Hair_Center_klinik,output/report_Capital_Hair_Center_klinik.csv
Clinic Nisantasi klinik,3,12,2,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Clinic_Nisantasi_klinik,output/report_Clinic_Nisantasi_klinik.csv
Davut Karabacak Hair Clinic klinik,1,86,309,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Davut_Karabacak_Hair_Clinic_klinik,output/report_Davut_Karabacak_Hair_Clinic_klinik.csv
Delta Hair Clinic klinik,3,78,18,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Delta_Hair_Clinic_klinik,output/report_Delta_Hair_Clinic_klinik.csv
Darma Med klinik,3,84,36,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Darma_Med_klinik,output/report_Darma_Med_klinik.csv
Cemal Kara klinik,1,367,38,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Cemal_Kara_klinik,output/report_Cemal_Kara_klinik.csv
Deluxe Clinic İstanbul klinik,3,58,44,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Deluxe_Clinic_İstanbul_klinik,output/report_Deluxe_Clinic_İstanbul_klinik.csv
Doctor Bircan klinik,3,51,12,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Doctor_Bircan_klinik,output/report_Doctor_Bircan_klinik.csv
Doc. Dr. Ibrahim Aşkar - Plastik Rekonstrüktif Ve Estetik Cerrahi klinik,1,256,189,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Doc_Dr_Ibrahim_Aşkar_-_Plastik_Rekonstrüktif_Ve_Estetik_Cerrahi_,output/report_Doc_Dr_Ibrahim_Aşkar_-_Plastik_Rekonstrüktif_Ve_Estetik_Cerrahi_.csv
Doc. Dr Tarık Çavuşoğlu klinik,1,343,44,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Doc_Dr_Tarık_Çavuşoğlu_klinik,output/report_Doc_Dr_Tarık_Çavuşoğlu_klinik.csv
Doctor Zen Clinic klinik,3,47,19,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Doctor_Zen_Clinic_klinik,output/report_Doctor_Zen_Clinic_klinik.csv
Doctor Busra Yakupoglu klinik,2,338,61,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Doctor_Busra_Yakupoglu_klinik,output/report_Doctor_Busra_Yakupoglu_klinik.csv
Doctor Musa Balta klinik,3,249,171,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Doctor_Musa_Balta_klinik,output/report_Doctor_Musa_Balta_klinik.csv
Doktor Koc Hair Clinic klinik,3,88,21,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Doktor_Koc_Hair_Clinic_klinik,output/report_Doktor_Koc_Hair_Clinic_klinik.csv
Dorak Clinic klinik,3,34,7,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dorak_Clinic_klinik,output/report_Dorak_Clinic_klinik.csv
Dr Baran Kul - Hair Transplant klinik,3,109,21,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Baran_Kul_-_Hair_Transplant_klinik,output/report_Dr_Baran_Kul_-_Hair_Transplant_klinik.csv
Dr Elza Todorova Bankovska-petkova klinik,2,78,1,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Elza_Todorova_Bankovska-petkova_klinik,output/report_Dr_Elza_Todorova_Bankovska-petkova_klinik.csv
Dr Cinik Hair Transplant Clinic klinik,3,209,78,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Cinik_Hair_Transplant_Clinic_klinik,output/report_Dr_Cinik_Hair_Transplant_Clinic_klinik.csv
Dogan Turan klinik,0,341,40,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dogan_Turan_klinik,output/report_Dogan_Turan_klinik.csv
Dr Fatih Sahin klinik,1,308,132,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Fatih_Sahin_klinik,output/report_Dr_Fatih_Sahin_klinik.csv
Dr Esin klinik,1,384,27,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Esin_klinik,output/report_Dr_Esin_klinik.csv
Dr Fuzun Erdogan klinik,1,399,45,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Fuzun_Erdogan_klinik,output/report_Dr_Fuzun_Erdogan_klinik.csv
Dr Gunay klinik,3,51,21,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Gunay_klinik,output/report_Dr_Gunay_klinik.csv
Dr Kaya Hair Treatments Clinic klinik,3,124,65,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Kaya_Hair_Treatments_Clinic_klinik,output/report_Dr_Kaya_Hair_Treatments_Clinic_klinik.csv
Dr Salih Onur Basat klinik,3,206,32,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Salih_Onur_Basat_klinik,output/report_Dr_Salih_Onur_Basat_klinik.csv
Dr Seyman Clinic klinik,3,10,10,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Seyman_Clinic_klinik,output/report_Dr_Seyman_Clinic_klinik.csv
Dr Oguz Kilic klinik,0,308,71,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Oguz_Kilic_klinik,output/report_Dr_Oguz_Kilic_klinik.csv
Dr Mehmet Yidirim klinik,0,297,59,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Mehmet_Yidirim_klinik,output/report_Dr_Mehmet_Yidirim_klinik.csv
Dr Yavuz Hair Transplant klinik,3,132,26,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Yavuz_Hair_Transplant_klinik,output/report_Dr_Yavuz_Hair_Transplant_klinik.csv
Dr Taner Karahan klinik,2,323,67,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Taner_Karahan_klinik,output/report_Dr_Taner_Karahan_klinik.csv
Dr. Ali Gokcen Akdal klinik,1,226,150,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Ali_Gokcen_Akdal_klinik,output/report_Dr_Ali_Gokcen_Akdal_klinik.csv
Dr Özgür Koldaş Polikliniği klinik,0,347,96,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Özgür_Koldaş_Polikliniği_klinik,output/report_Dr_Özgür_Koldaş_Polikliniği_klinik.csv
Dr Yücel Sarialtin klinik,2,252,171,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Yücel_Sarialtin_klinik,output/report_Dr_Yücel_Sarialtin_klinik.csv
Dr. Aslı Tarcan klinik,3,109,31,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Aslı_Tarcan_klinik,output/report_Dr_Aslı_Tarcan_klinik.csv
Dr. Ali Şahan Hairclinic klinik,2,265,111,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Ali_Şahan_Hairclinic_klinik,output/report_Dr_Ali_Şahan_Hairclinic_klinik.csv
Dr. Altan Yucetas klinik,0,343,141,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Altan_Yucetas_klinik,output/report_Dr_Altan_Yucetas_klinik.csv
Dr. Asude Köksal klinik,1,331,44,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Asude_Köksal_klinik,output/report_Dr_Asude_Köksal_klinik.csv
Dr. Atilla Fesli klinik,2,308,154,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Atilla_Fesli_klinik,output/report_Dr_Atilla_Fesli_klinik.csv
Dr. Berkay Tulpar klinik,3,6,1,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Berkay_Tulpar_klinik,output/report_Dr_Berkay_Tulpar_klinik.csv
Dr. Atul Gawande klinik,0,265,41,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Atul_Gawande_klinik,output/report_Dr_Atul_Gawande_klinik.csv
Dr. Birol Civelek klinik,2,147,50,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Birol_Civelek_klinik,output/report_Dr_Birol_Civelek_klinik.csv
Dr. Cinik klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Cinik_klinik,output/report_Dr_Cinik_klinik.csv
Dr. Benjamin Caldwell klinik,2,257,109,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Benjamin_Caldwell_klinik,output/report_Dr_Benjamin_Caldwell_klinik.csv
Dr. Dogus Özturk klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Dogus_Özturk_klinik,output/report_Dr_Dogus_Özturk_klinik.csv
Dr. Ekrem Civas klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Ekrem_Civas_klinik,output/report_Dr_Ekrem_Civas_klinik.csv
Dr. Emre Çiçek klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Emre_Çiçek_klinik,output/report_Dr_Emre_Çiçek_klinik.csv
Dr. Biçer klinik,1,80,19,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Biçer_klinik,output/report_Dr_Biçer_klinik.csv
Dr. Ferhad Yıldız klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Ferhad_Yıldız_klinik,output/report_Dr_Ferhad_Yıldız_klinik.csv
Dr. Feyman Duygu Oktar klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Feyman_Duygu_Oktar_klinik,output/report_Dr_Feyman_Duygu_Oktar_klinik.csv
Dr. Gulden Avci Cakmak klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Gulden_Avci_Cakmak_klinik,output/report_Dr_Gulden_Avci_Cakmak_klinik.csv
Dr. Gökhan Gür klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Gökhan_Gür_klinik,output/report_Dr_Gökhan_Gür_klinik.csv
Dr. Handan Yavuz Köksal klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Handan_Yavuz_Köksal_klinik,output/report_Dr_Handan_Yavuz_Köksal_klinik.csv
Dr. Hamdi Osmanoğlu klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Hamdi_Osmanoğlu_klinik,output/report_Dr_Hamdi_Osmanoğlu_klinik.csv
Dr. Ilker Manavbasi's Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Ilker_Manavbasis_Clinic_klinik,output/report_Dr_Ilker_Manavbasis_Clinic_klinik.csv
Dr. Jale Senyurt klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Jale_Senyurt_klinik,output/report_Dr_Jale_Senyurt_klinik.csv
Dr. Kaan Pekiner klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Kaan_Pekiner_klinik,output/report_Dr_Kaan_Pekiner_klinik.csv
Dr. Kerem Baykal klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Kerem_Baykal_klinik,output/report_Dr_Kerem_Baykal_klinik.csv
Dr. Koray Erdogan klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Koray_Erdogan_klinik,output/report_Dr_Koray_Erdogan_klinik.csv
Dr. Med Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Med_Clinic_klinik,output/report_Dr_Med_Clinic_klinik.csv
Dr. Murat Küçüktaş klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Murat_Küçüktaş_klinik,output/report_Dr_Murat_Küçüktaş_klinik.csv
Dr. Murat Makasçı klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Murat_Makasçı_klinik,output/report_Dr_Murat_Makasçı_klinik.csv
Dr. Ozgur Oztan klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Ozgur_Oztan_klinik,output/report_Dr_Ozgur_Oztan_klinik.csv
Dr. Said Sadiki klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Said_Sadiki_klinik,output/report_Dr_Said_Sadiki_klinik.csv
Dr. Serdar Eren klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Serdar_Eren_klinik,output/report_Dr_Serdar_Eren_klinik.csv
Dr. Serkan Aygin Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Serkan_Aygin_Clinic_klinik,output/report_Dr_Serkan_Aygin_Clinic_klinik.csv
Dr. Servet Terziler klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Servet_Terziler_klinik,output/report_Dr_Servet_Terziler_klinik.csv
Dr. Seyda Bayraktaroğlu klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Seyda_Bayraktaroğlu_klinik,output/report_Dr_Seyda_Bayraktaroğlu_klinik.csv
Dr. Taner Bahar klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Taner_Bahar_klinik,output/report_Dr_Taner_Bahar_klinik.csv
Dr. Terziler Exclusive Hair Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Terziler_Exclusive_Hair_Clinic_klinik,output/report_Dr_Terziler_Exclusive_Hair_Clinic_klinik.csv
Dr. Tolga Eryılmaz klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Tolga_Eryılmaz_klinik,output/report_Dr_Tolga_Eryılmaz_klinik.csv
Dr. Tuncer Özalp klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Tuncer_Özalp_klinik,output/report_Dr_Tuncer_Özalp_klinik.csv
Dr. Turab Ismayilov - Plastic Surgery klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Turab_Ismayilov_-_Plastic_Surgery_klinik,output/report_Dr_Turab_Ismayilov_-_Plastic_Surgery_klinik.csv
Dr. Yaman Hair Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Yaman_Hair_Clinic_klinik,output/report_Dr_Yaman_Hair_Clinic_klinik.csv
Dr. Yetkin Bayer Clinics klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Yetkin_Bayer_Clinics_klinik,output/report_Dr_Yetkin_Bayer_Clinics_klinik.csv
Dr. Ünzile Balcı Akbuğa klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Ünzile_Balcı_Akbuğa_klinik,output/report_Dr_Ünzile_Balcı_Akbuğa_klinik.csv
Dr. Şerif Yavuz klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dr_Şerif_Yavuz_klinik,output/report_Dr_Şerif_Yavuz_klinik.csv
Dr.garg's Sure Shot Herbals klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Drgargs_Sure_Shot_Herbals_klinik,output/report_Drgargs_Sure_Shot_Herbals_klinik.csv
Dr.i̇. Öykü Maraşoğlu Çelen klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dri_Öykü_Maraşoğlu_Çelen_klinik,output/report_Dri_Öykü_Maraşoğlu_Çelen_klinik.csv
Dra. Paula Frederichi klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Dra_Paula_Frederichi_klinik,output/report_Dra_Paula_Frederichi_klinik.csv
Epc Hospital klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Epc_Hospital_klinik,output/report_Epc_Hospital_klinik.csv
Este Favor Saç Ekimi-hair Transplant klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Este_Favor_Saç_Ekimi-hair_Transplant_klinik,output/report_Este_Favor_Saç_Ekimi-hair_Transplant_klinik.csv
Elif Dincarslan Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Elif_Dincarslan_Clinic_klinik,output/report_Elif_Dincarslan_Clinic_klinik.csv
Elithair - Hair Transplant klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Elithair_-_Hair_Transplant_klinik,output/report_Elithair_-_Hair_Transplant_klinik.csv
Elitium klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Elitium_klinik,output/report_Elitium_klinik.csv
Ellora Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Ellora_Clinic_klinik,output/report_Ellora_Clinic_klinik.csv
Erdem Hastanesi klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Erdem_Hastanesi_klinik,output/report_Erdem_Hastanesi_klinik.csv
Erkan Demirsoy klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Erkan_Demirsoy_klinik,output/report_Erkan_Demirsoy_klinik.csv
Erna Hair Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Erna_Hair_Clinic_klinik,output/report_Erna_Hair_Clinic_klinik.csv
Esmerest Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Esmerest_Clinic_klinik,output/report_Esmerest_Clinic_klinik.csv
Esra Tustas klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Esra_Tustas_klinik,output/report_Esra_Tustas_klinik.csv
Estecapelli klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Estecapelli_klinik,output/report_Estecapelli_klinik.csv
Essentialhair klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Essentialhair_klinik,output/report_Essentialhair_klinik.csv
Estefuture klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Estefuture_klinik,output/report_Estefuture_klinik.csv
Estepalace klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Estepalace_klinik,output/report_Estepalace_klinik.csv
Estenuvo Health Group klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Estenuvo_Health_Group_klinik,output/report_Estenuvo_Health_Group_klinik.csv
Esteday Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Esteday_Clinic_klinik,output/report_Esteday_Clinic_klinik.csv
Estefocus klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Estefocus_klinik,output/report_Estefocus_klinik.csv
Estelumina Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Estelumina_Clinic_klinik,output/report_Estelumina_Clinic_klinik.csv
Estemoon Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Estemoon_Clinic_klinik,output/report_Estemoon_Clinic_klinik.csv
Estenoveturkey klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Estenoveturkey_klinik,output/report_Estenoveturkey_klinik.csv
Estetik International klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Estetik_International_klinik,output/report_Estetik_International_klinik.csv
Estevien Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Estevien_Clinic_klinik,output/report_Estevien_Clinic_klinik.csv
Estevitalya klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Estevitalya_klinik,output/report_Estevitalya_klinik.csv
Estevitalya Hair Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Estevitalya_Hair_Clinic_klinik,output/report_Estevitalya_Hair_Clinic_klinik.csv
Esteworld klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Esteworld_klinik,output/report_Esteworld_klinik.csv
Esthete Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Esthete_Clinic_klinik,output/report_Esthete_Clinic_klinik.csv
Esthebeauty klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Esthebeauty_klinik,output/report_Esthebeauty_klinik.csv
Esvita Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Esvita_Clinic_klinik,output/report_Esvita_Clinic_klinik.csv
Esvita Clinic Turkey klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Esvita_Clinic_Turkey_klinik,output/report_Esvita_Clinic_Turkey_klinik.csv
Fatih Dağdelen klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Fatih_Dağdelen_klinik,output/report_Fatih_Dağdelen_klinik.csv
